Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,CurrentSalary,ExpectedNextYearSalary,AnnualWageGrowth
Bachelors,2017,Bangalore,3,34,Male,No,0,0,30000.0,32100.0,2100.0
Bachelors,2013,Pune,1,28,Female,No,3,1,36751.29,39323.88,2572.59
Bachelors,2014,New Delhi,3,38,Female,No,2,0,34347.0,36751.29,2404.29
Masters,2016,Bangalore,3,27,Male,No,5,1,63114.83,67532.87,4418.04
Masters,2017,Pune,3,24,Male,Yes,2,1,43792.42,46857.89,3065.47
Bachelors,2016,Bangalore,3,22,Male,No,0,0,30000.0,32100.0,2100.0
Bachelors,2015,New Delhi,3,38,Male,No,0,0,30000.0,32100.0,2100.0
Bachelors,2016,Bangalore,3,34,Female,No,2,1,34347.0,36751.29,2404.29
Bachelors,2016,Pune,3,23,Male,No,1,0,32100.0,34347.0,2247.0
Masters,2017,New Delhi,2,37,Male,No,2,0,51520.5,55126.94,3606.44
Masters,2012,Bangalore,3,27,Male,No,5,1,63114.83,67532.87,4418.04
Bachelors,2016,Pune,3,34,Male,No,3,0,36751.29,39323.88,2572.59
Bachelors,2018,Pune,3,32,Male,Yes,5,1,35765.07,38268.62,2503.55
Bachelors,2016,Bangalore,3,39,Male,No,2,0,34347.0,36751.29,2404.29
Bachelors,2012,Bangalore,3,37,Male,No,4,0,39323.88,42076.55,2752.67
Bachelors,2017,Bangalore,1,29,Male,No,3,0,36751.29,39323.88,2572.59
Bachelors,2014,Bangalore,3,34,Female,No,2,0,34347.0,36751.29,2404.29
Bachelors,2014,Pune,3,34,Male,No,4,0,39323.88,42076.55,2752.67
Bachelors,2015,Pune,2,30,Female,No,0,1,30000.0,32100.0,2100.0
Bachelors,2016,New Delhi,2,22,Female,No,0,1,30000.0,32100.0,2100.0
Bachelors,2012,Bangalore,3,37,Male,No,0,0,30000.0,32100.0,2100.0
Masters,2017,New Delhi,2,28,Male,No,4,0,58985.82,63114.83,4129.01
Bachelors,2017,New Delhi,2,36,Male,No,3,0,36751.29,39323.88,2572.59
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,35765.07,38268.62,2503.55
Bachelors,2017,Bangalore,3,29,Male,No,4,0,39323.88,42076.55,2752.67
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,25500.0,27285.0,1785.0
Bachelors,2016,Bangalore,3,37,Male,No,2,0,34347.0,36751.29,2404.29
Bachelors,2015,Bangalore,3,23,Male,No,1,0,32100.0,34347.0,2247.0
Bachelors,2013,Pune,2,31,Female,No,2,1,34347.0,36751.29,2404.29
Masters,2017,New Delhi,2,30,Female,No,2,0,51520.5,55126.94,3606.44
PHD,2013,New Delhi,3,25,Male,No,3,0,73502.58,78647.76,5145.18
